;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";0;0;0;;;;;;;;;
"1901-01-01 00:00:00";0;0;0;;;;;;;;;
"1902-01-01 00:00:00";0;0;0;;;;;;;;;
"1903-01-01 00:00:00";0;0;0;;;;;;;;;
"1904-01-01 00:00:00";0;0;0;;;;;;;;;
"1905-01-01 00:00:00";0;0;0;;;;;;;;;
"1906-01-01 00:00:00";0;0;0;;;;;;;;;
"1907-01-01 00:00:00";0;0;0;;;;;;;;;
"1908-01-01 00:00:00";0;0;0;;;;;;;;;
"1909-01-01 00:00:00";0;0;0;;;;;;;;;
"1910-01-01 00:00:00";0;0;0;;;;;;;;;
"1911-01-01 00:00:00";0;0;0;;;;;;;;;
"1912-01-01 00:00:00";0;0;0;;;;;;;;;
"1913-01-01 00:00:00";0;0;0;;;;;;;;;
"1914-01-01 00:00:00";0;0;0;;;;;;;;;
"1915-01-01 00:00:00";0;0;0;;;;;;;;;
"1916-01-01 00:00:00";0,01163;0;0;;;;;;;;;
"1917-01-01 00:00:00";0,01163;0,016282;0;;;;;;;;;
"1918-01-01 00:00:00";0,01163;0,04697357;0;;;;;;;;;
"1919-01-01 00:00:00";0,01163;0,051980285;0;;;;;;;;;
"1920-01-01 00:00:00";0,01163;0,05511457;0;;;;;;;;;
"1921-01-01 00:00:00";0;0,073269;0;;;;;;;;;
"1922-01-01 00:00:00";0,01163;0,073269;0;;;;;;;;;
"1923-01-01 00:00:00";0,01163;0,032564;0;;;;;;;;;
"1924-01-01 00:00:00";0,02326;0,073269;0;;;;;;;;;
"1925-01-01 00:00:00";0,02326;0,08141;0;;;;;;;;;
"1926-01-01 00:00:00";0,01163;0,113974;0;;;;;;;;;
"1927-01-01 00:00:00";0,01163;0,170961;0;;;;;;;;;
"1928-01-01 00:00:00";0,01163;0,138397;0;;;;;;;;;
"1929-01-01 00:00:00";0,03489;0,130256;0;;;;;;;;;
"1930-01-01 00:00:00";0,02326;0,138397;0;;;;;;;;;
"1931-01-01 00:00:00";0,01163;0,170961;0;;;;;;;;;
"1932-01-01 00:00:00";0,01163;0,203525;0;;;;;;;;;
"1933-01-01 00:00:00";0,01163;0,24423;0;;;;;;;;;
"1934-01-01 00:00:00";0;0,276794;0;;;;;;;;;
"1935-01-01 00:00:00";0;0,309358;0;;;;;;;;;
"1936-01-01 00:00:00";0;0,056987;0;;;;;;;;;
"1937-01-01 00:00:00";0;0,113974;0;;;;;;;;;
"1938-01-01 00:00:00";0;0,105833;0;;;;;;;;;
"1939-01-01 00:00:00";0;0,154679;0;;;;;;;;;
"1940-01-01 00:00:00";0;0,447755;0;;;;;;;;;
"1941-01-01 00:00:00";0;0,65128;0;;;;;;;;;
"1942-01-01 00:00:00";0;1,204868;0;;;;;;;;;
"1943-01-01 00:00:00";0;0,952497;0;;;;;;;;;
"1944-01-01 00:00:00";0,01163;0,97692;0;;;;;;;;;
"1945-01-01 00:00:00";0;1,318842;0;;;;;;;;;
"1946-01-01 00:00:00";0;1,750315;0,8425935;;;;;;;;;
"1947-01-01 00:00:00";0;1,677046;0,8425935;;;;;;;;;
"1948-01-01 00:00:00";0;1,839866;0,8670165;;;;;;;;;
"1949-01-01 00:00:00";0;2,157365;0,879228;;;;;;;;;
"1950-01-01 00:00:00";0,03489;2,100378;0,9158625;;;;;;;;;
"1951-01-01 00:00:00";0,08141;2,010827;0,97692;;;;;;;;;
"1952-01-01 00:00:00";0,53498;2,189929;0,9891315;;;;;;;;;
"1953-01-01 00:00:00";0,98855;2,401595;1,025766;;;;;;;;;
"1954-01-01 00:00:00";0,84899;2,466723;1,0868235;;;;;;;;;
"1955-01-01 00:00:00";0,63965;2,450441;1,0868235;;;;;;;;;
"1956-01-01 00:00:00";0,39542;2,417877;1,196727;;;;;;;;;
"1957-01-01 00:00:00";0,24423;1,921276;1,2333615;;;;;;;;;
"1958-01-01 00:00:00";4,98927;1,245573;1,343265;;;;;;;;;
"1959-01-01 00:00:00";14,32816;0,993202;1,46538;;;;;;;;;
"1960-01-01 00:00:00";100,39016;0,968779;1,587495;;;;;;;;;
"1961-01-01 00:00:00";182,09091;0,537306;2,662107;;;;;;;;;
"1962-01-01 00:00:00";238,49641;0,431473;4,322871;;;;;;;;;
"1963-01-01 00:00:00";274,89831;0,309358;4,8723885;;;;;;;;;
"1964-01-01 00:00:00";308,06707;0,374486;9,818046;;;;;;;;;
"1965-01-01 00:00:00";307,97403;0,366345;29,2465425;;;;;;;;;
"1966-01-01 00:00:00";393,81506;0,032564;35,2301775;;;;;;;;;
"1967-01-01 00:00:00";454,44225;0,138397;29,0267355;;;;;;;;;
"1968-01-01 00:00:00";498,97352;0;41,738907;;;;;;;;;
"1969-01-01 00:00:00";520,83792;0,154679;35,315658;;;;;;;;;
"1970-01-01 00:00:00";560,62415;0,105833;33,801432;;;;;;;;;
"1971-01-01 00:00:00";431,26366;0,113974;35,462196;;;;;;;;;
"1972-01-01 00:00:00";582,50018;0,097692;43,692747;;;;;;;;;
"1973-01-01 00:00:00";591,05986;0,105833;57,9435675;;;;;;;;;
"1974-01-01 00:00:00";546,67978;0,105833;68,6408415;;;;;;;;;
"1975-01-01 00:00:00";552,8902;0,097692;116,400018;;;;;;;;;
"1976-01-01 00:00:00";582,59322;0,065128;121,2968295;;;;;;;;;
"1977-01-01 00:00:00";622,42597;0,048846;105,434091;;;;;;;;;
"1978-01-01 00:00:00";665,17785;0,040705;172,1699385;;;;;;;;;
"1979-01-01 00:00:00";661,72374;0,040705;316,7540985;;;;;;;;;
"1980-01-01 00:00:00";679,23012314;0,05523363794;142,25966027;0,70857143851;0;0;0;0;;0;0;
"1981-01-01 00:00:00";622,5908834;0,05523363794;267,21278732;1,03428574258;0;0;0;0;;0;0;
"1982-01-01 00:00:00";618,56468207;0,05523363794;326,05499329;1,3542857043;0;0;0;0;;0;0;
"1983-01-01 00:00:00";602,01336616;0,05523363794;454,81554974;0,66571430701;0;0;0;0;;0;0;
"1984-01-01 00:00:00";659,26777475;0,05523363794;470,73754309;1,4742857888;0;0;0;0;;0;0;
"1985-01-01 00:00:00";673,27045757;0,063124238225;470,73754309;1,8257142671;0;0;0;0;;0;0;
"1986-01-01 00:00:00";702,83989539;0,071014550086;460,35361618;0,70571427315;0;0;0;0;;0;0;
"1987-01-01 00:00:00";707,6841044;0,063124238225;527,84908876;1,40285712;0;0;0;0;;0;0;
"1988-01-01 00:00:00";694,11709301;0,078905155023;565,9234758;0,51714287129;0;0;0;0;;0;0;
"1989-01-01 00:00:00";728,50035065;0,11835787035;591,53712031;0,75142855838;0;0;0;0;;0;0;
"1990-01-01 00:00:00";775,23135374;0,078905155023;618,53531632;0,38285712281;0;0;0;0;;0;0;
"1991-01-01 00:00:00";772,00336583;0,11835787035;669,07034122;0,82857146486;0;0;0;0;;0;0;
"1992-01-01 00:00:00";793,20261124;0,11835787035;682,07689128;0,56285716815;0;0;0;0;;0;0;
"1993-01-01 00:00:00";772,93856902;0,15781030772;658,36317009;0,99714286039;0;0;0;0;;0;0;
"1994-01-01 00:00:00";763,08210913;0,15781030772;625,36098658;0,4685714207;0;0;0;0;;0;0;
"1995-01-01 00:00:00";769,8426165;0,17925720235;710,19068341;0,54571428066;0;0;0;0;;0;0;
"1996-01-01 00:00:00";813,65226826;0,097776600109;725,34130538;0,38285712281;0;0;0;0;;0;0;
"1997-01-01 00:00:00";835,6592288;0,082677685119;804,3781341;0,21142856192;0;0;0;0;;0;0;
"1998-01-01 00:00:00";824,59008555;0,060128743319;860,99984743;0,60857140686;0;0;0;0;;0;0;
"1999-01-01 00:00:00";814,41845266;0,037580685399;950,66057648;0,57428572492;0;0;0;0;;0;0;
"2000-01-01 00:00:00";843,93453204;0;971,79158868;0,15142857782;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";888,33299907;0;921,35736099;0,19428572095;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";949,16991286;0;925,21000783;0,16000000412;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";1048,51772248;0;942,138159;0,74857143954;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";1087,86639699;0;935,71713133;0,70857143851;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";1150,63726348;0;1041,78063793;1,5685714781;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";1157,37337111;0;1018,0228623;0,61714285642;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";1157,48277452;0;933,20217872;0,64000001648;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";1153,17405723;0;951,66233816;0,80000000897;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";1119,37197395;0;916,87428674;0,86571426564;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";1100,84198799;0;930,81499329;0,49142859239;0;0;0;0;;0;0,00028571429141;0
"2011-01-01 00:00:00";1091,05188888;0;910,5396816;1,4199999726;0;0;0;0;;0;0,29142856398;0
"2012-01-01 00:00:00";1100,32273175;0;951,10121392;1,7600001151;0;0;0;0;;0;0,55142855323;0
"2013-01-01 00:00:00";1032,5652469;0;876,22678546;0,93428572256;0;0;0;0;;0;0,55142855323;0
"2014-01-01 00:00:00";1007,7160074;0;916,34829673;0,71714287644;0;0;0,0028571427978;0;;0;0,56571428699;0
"2015-01-01 00:00:00";1050,05354539;0;913,5430128;0,41142856707;0;0;0,054285717345;0;;0;0,4628571365;0
"2016-01-01 00:00:00";994,47635725;0;1031,75034443;0,28571427978;0;0;0,082857142997;0;;0;0,9685714045;0
