;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0,55714283743;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0,82285713414;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0,81428569621;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0,89714282874;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0,92857140347;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,84857147119;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;1,3114285728;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;1,4999999514;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;1,5828571886;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;1,6685714516;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;1,851428546;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";0;0;0;1,9828570826;0;0;0;0;;0;0;0
"2011-01-01 00:00:00";0;0;0;1,3999999779;0;0;0;0;;0;0;0
"2012-01-01 00:00:00";0;0;0;1,3885714095;0;0;0;0;;0;0;0
"2013-01-01 00:00:00";0;0;0;1,4714285304;0;0;0;0;;0;0;0
"2014-01-01 00:00:00";0;0;0;1,4857142409;0;0;0;0;;0;0;0
"2015-01-01 00:00:00";0;0;0;1,5142857782;0;0;0;0;;0;0;0
"2016-01-01 00:00:00";0;0;0;1,4571428199;0;0;0;0;;0;0;0
