;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";;0;;0;;;;;;;;
"1901-01-01 00:00:00";;0;;0;;;;;;;;
"1902-01-01 00:00:00";;0;;0;;;;;;;;
"1903-01-01 00:00:00";;0;;0;;;;;;;;
"1904-01-01 00:00:00";;0;;0;;;;;;;;
"1905-01-01 00:00:00";;0;;0;;;;;;;;
"1906-01-01 00:00:00";;0;;0;;;;;;;;
"1907-01-01 00:00:00";;0;;0;;;;;;;;
"1908-01-01 00:00:00";;0;;0;;;;;;;;
"1909-01-01 00:00:00";;0;;0;;;;;;;;
"1910-01-01 00:00:00";;0;;0;;;;;;;;
"1911-01-01 00:00:00";;0;;0;;;;;;;;
"1912-01-01 00:00:00";;0;;0;;;;;;;;
"1913-01-01 00:00:00";;0;;0;;;;;;;;
"1914-01-01 00:00:00";;0;;0;;;;;;;;
"1915-01-01 00:00:00";;0;;0;;;;;;;;
"1916-01-01 00:00:00";;0;;0;;;;;;;;
"1917-01-01 00:00:00";;0;;0;;;;;;;;
"1918-01-01 00:00:00";;0;;0;;;;;;;;
"1919-01-01 00:00:00";;0;;0;;;;;;;;
"1920-01-01 00:00:00";;0;;0;;;;;;;;
"1921-01-01 00:00:00";;0;;0;;;;;;;;
"1922-01-01 00:00:00";;0;;0;;;;;;;;
"1923-01-01 00:00:00";;0;;0;;;;;;;;
"1924-01-01 00:00:00";;0;;0;;;;;;;;
"1925-01-01 00:00:00";;0;;0;;;;;;;;
"1926-01-01 00:00:00";;0;;0;;;;;;;;
"1927-01-01 00:00:00";;0;;0;;;;;;;;
"1928-01-01 00:00:00";;0;;0;;;;;;;;
"1929-01-01 00:00:00";;0;;0;;;;;;;;
"1930-01-01 00:00:00";;0;;0;;;;;;;;
"1931-01-01 00:00:00";;0;;0;;;;;;;;
"1932-01-01 00:00:00";;0;;0;;;;;;;;
"1933-01-01 00:00:00";;0;;0;;;;;;;;
"1934-01-01 00:00:00";;0;;0;;;;;;;;
"1935-01-01 00:00:00";;0;;0;;;;;;;;
"1936-01-01 00:00:00";;0;;0;;;;;;;;
"1937-01-01 00:00:00";;0;;0;;;;;;;;
"1938-01-01 00:00:00";;0;;0;;;;;;;;
"1939-01-01 00:00:00";;0;;0;;;;;;;;
"1940-01-01 00:00:00";;0;;0;;;;;;;;
"1941-01-01 00:00:00";;0;;0;;;;;;;;
"1942-01-01 00:00:00";;0;;0;;;;;;;;
"1943-01-01 00:00:00";;0;;0;;;;;;;;
"1944-01-01 00:00:00";;0;;0;;;;;;;;
"1945-01-01 00:00:00";;0;;0;;;;;;;;
"1946-01-01 00:00:00";;0;;0;;;;;;;;
"1947-01-01 00:00:00";;0;;0;;;;;;;;
"1948-01-01 00:00:00";;0;;0;;;;;;;;
"1949-01-01 00:00:00";;0;;0;;;;;;;;
"1950-01-01 00:00:00";;0;;0,4371428571428573;;;;;;;;
"1951-01-01 00:00:00";;0;;0,44571428571428584;;;;;;;;
"1952-01-01 00:00:00";;0;;0;;;;;;;;
"1953-01-01 00:00:00";;0;;0,5342857142857146;;;;;;;;
"1954-01-01 00:00:00";;0;;0,5771428571428573;;;;;;;;
"1955-01-01 00:00:00";;0;;0,6200000000000001;;;;;;;;
"1956-01-01 00:00:00";;0;;0,6285714285714287;;;;;;;;
"1957-01-01 00:00:00";;0;;0,6428571428571425;;;;;;;;
"1958-01-01 00:00:00";;0;;0,6828571428571432;;;;;;;;
"1959-01-01 00:00:00";;0;;0,7028571428571423;;;;;;;;
"1960-01-01 00:00:00";;0;;0;;;;;;;;
"1961-01-01 00:00:00";;0;;0;;;;;;;;
"1962-01-01 00:00:00";;0;;0,8485714285714289;;;;;;;;
"1963-01-01 00:00:00";;0;;0,8885714285714283;;;;;;;;
"1964-01-01 00:00:00";;0;;1,9399999999999982;;;;;;;;
"1965-01-01 00:00:00";;0;;1,7999999999999956;;;;;;;;
"1966-01-01 00:00:00";;0,809817834;;1,6542857142857093;;;;;;;;
"1967-01-01 00:00:00";;2,738282337;;1,6800000000000053;;;;;;;;
"1968-01-01 00:00:00";;3,932420499;;0,8400000000000003;;;;;;;;
"1969-01-01 00:00:00";;2,724556611;;0,9342857142857144;;;;;;;;
"1970-01-01 00:00:00";;4,275563649;;10,26;;;;;;;;
"1971-01-01 00:00:00";;5,600096208;;11,085714285714287;;;;;;;;
"1972-01-01 00:00:00";;6,58834848;;12,911428571428555;;;;;;;;
"1973-01-01 00:00:00";;6,423639768;;13,814285714285683;;;;;;;;
"1974-01-01 00:00:00";;5,600096208;;16,388571428571478;;;;;;;;
"1975-01-01 00:00:00";;5,586370482;;16,97142857142858;;;;;;;;
"1976-01-01 00:00:00";;5,380484592;;19,725714285714236;;;;;;;;
"1977-01-01 00:00:00";;4,858907004;;24,41142857142852;;;;;;;;
"1978-01-01 00:00:00";;4,220660745;;22,200000000000028;;;;;;;;
"1979-01-01 00:00:00";;4,110854937;;24,748571428571456;;;;;;;;
"1980-01-01 00:00:00";0;4,0892943126;0;25,742858462;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;3,6453549993;0;27,645714868;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;4,3430659135;0;28,322856499;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;3,2530217176;0;28,371428031;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;3,6880184913;0;27,951428026;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;3,6614979045;0;28,148571645;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;3,9601203678;0;27,700000219;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;3,3206491209;0;23,865714823;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;3,7553803817;0;23,688571315;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;2,9440796064;0;19,148571704;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;3,2726298976;0;22,088571739;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;3,6011810029;0;22,042856535;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;3,7124970827;0;21,894285611;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;4,4694373772;0;21,902856921;0;0;0;0;;0;0;
