;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1980-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1981-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1982-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1983-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1984-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1985-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1986-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1987-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1988-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1989-01-01 00:00:00";0;0;0;0;0;0;0;0;;0;0;
"1990-01-01 00:00:00";0;0;0;0,025714285878;0;0;0;0;;0;0;
"1991-01-01 00:00:00";0;0;0;0,037142857767;0;0;0;0;;0;0;
"1992-01-01 00:00:00";0;0;0;0,057142857119;0;0;0;0;;0;0;
"1993-01-01 00:00:00";0;0;0;0,13428572522;0;0;0;0;;0;0;
"1994-01-01 00:00:00";0;0;0;0,20571428935;0;0;0;0;;0;0;
"1995-01-01 00:00:00";0;0;0;0,26857143881;0;0;0;0;;0;0;
"1996-01-01 00:00:00";0;0;0;0,32571429244;0;0;0;0;;0;0;
"1997-01-01 00:00:00";0;0;0;0,32857143454;0;0;0;0;;0;0;
"1998-01-01 00:00:00";0;0;0;0,22285715358;0;0;0;0;;0;0;
"1999-01-01 00:00:00";0;0;0;0,35142857134;0;0;0;0;;0;0;
"2000-01-01 00:00:00";0;0;0;0,27714286511;0;0;0;0;;0;0;0
"2001-01-01 00:00:00";0;0;0;0,15142857782;0;0;0;0;;0;0;0
"2002-01-01 00:00:00";0;0;0;0,18285714092;0;0;0;0;;0;0;0
"2003-01-01 00:00:00";0;0;0;0,27428572301;0;0;0;0;;0;0;0
"2004-01-01 00:00:00";0;0;0;0,28698286855;0;0;0;0;;0;0;0
"2005-01-01 00:00:00";0;0;0;0,2841942853;0;0;0;0;;0;0;0
"2006-01-01 00:00:00";0;0;0;0,22817428491;0;0;0;0;;0;0;0
"2007-01-01 00:00:00";0;0;0;0,31515142635;0;0;0;0;;0;0;0
"2008-01-01 00:00:00";0;0;0;0,38449428954;0;0;0;0;;0;0;0
"2009-01-01 00:00:00";0;0;0;0,3742114157;0;0;0;0;;0;0;0
"2010-01-01 00:00:00";0;0;0;0,33142857664;0;0;0;0;;0;0,017142857252;0
"2011-01-01 00:00:00";0;0;0;0,23142856825;0;0;0;0;;0;0,025714285878;0
"2012-01-01 00:00:00";0;0;0;0,27714286511;0;0;0;0;;0;0,025714285878;0
"2013-01-01 00:00:00";0;0;0;0,30285714401;0;0,0002777777817;0;0;;0;0,028571429141;0
"2014-01-01 00:00:00";0;0;0;0,25714285878;0;0,00055555555177;0;0;;0;0,031428572404;0
"2015-01-01 00:00:00";0;0;0;0,26571427345;0;0,0013888889085;0;0;;0;0,034285714504;0
"2016-01-01 00:00:00";0;0;0;0,39714284494;0;0,0055555555177;0;0;;0;0,042857141967;0
